track,artist,charted,mode,loudness,duration_ms,speechiness,valence,instrumentalness,key,acousticness,time_signature,liveness,tempo,danceability,energy
This Love,Maroon 5,True,0,-4.596,206200,0.0363,0.78,0,5,0.0551,4,0.0987,95.05,0.714,0.868
A Sky Full of Stars,Coldplay,True,1,-6.474,267867,0.0279,0.162,0.00197,6,0.00617,4,0.209,124.97,0.545,0.675
Team,Lorde,True,1,-7.436,193059,0.0929,0.416,0,6,0.167,4,0.305,99.961,0.69,0.578
Wake Me up When September Ends,Green Day,True,1,-5.146,285653,0.0314,0.146,0,7,0.023,4,0.0972,104.98,0.546,0.814
Madness,Muse,True,1,-7.665,281040,0.0718,0.218,0.00419,10,0.127,4,0.106,180.301,0.502,0.417
Ruby,Kaiser Chiefs,True,0,-2.826,204200,0.0696,0.424,3.22e-06,5,0.00634,4,0.076,186.813,0.312,0.941
Jeremy,Pearl Jam,True,1,-4.424,319467,0.0438,0.262,0,2,0.0208,4,0.104,105.53,0.234,0.909
Knights of Cydonia,Muse,True,0,-5.301,366213,0.142,0.211,0.0122,11,0.000273,4,0.115,137.114,0.366,0.963
Shiver,Coldplay,True,1,-6.186,304200,0.0487,0.286,0,4,0.0334,3,0.0688,116.705,0.396,0.803
Under the Bridge,Red Hot Chili Peppers,True,1,-8.046,265507,0.0457,0.513,0.000534,4,0.0168,4,0.136,84.275,0.554,0.49
Beautiful Day,U2,True,1,-6.727,245707,0.052,0.449,0.000441,2,0.0225,4,0.353,136.282,0.541,0.914
Time is Running Out,Muse,True,0,-5.883,237040,0.0556,0.428,0.00686,9,0.00242,4,0.0866,118.211,0.585,0.842
All Star,Smash Mouth,True,1,-5.876,200560,0.0313,0.77,0,11,0.0398,4,0.0818,104.018,0.73,0.862
Do You Want To,Franz Ferdinand,True,1,-2.887,215000,0.047,0.748,0.000612,0,0.0884,4,0.81,123.091,0.414,0.939
When I Come Around,Green Day,True,1,-4.236,178000,0.034,0.814,0,11,0.0175,4,0.231,97.546,0.531,0.909
Blue Jeans,Lana Del Rey,True,1,-4.405,209440,0.0633,0.488,0,3,0.418,4,0.0821,117.963,0.558,0.837
Just Like Heaven,The Cure,True,1,-3.391,212133,0.0469,0.8,5.47e-05,9,0.015,4,0.14,151.111,0.439,0.969
I Will Wait,Mumford & Sons,True,1,-5.056,276720,0.0349,0.429,0.00314,1,0.0155,4,0.203,131.004,0.477,0.776
Take Me Out,Franz Ferdinand,True,1,-8.851,237027,0.0371,0.49,0.000655,9,0.000389,4,0.133,104.56,0.279,0.664
Welcome to the Black Parade,My Chemical Romance,True,1,-4.103,311107,0.0752,0.236,0.00011,2,0.000289,4,0.222,96.95,0.217,0.905
No One Knows,Queens of the Stone Age,True,1,-4.902,278653,0.0615,0.67,0.000124,0,0.0329,4,0.359,170.886,0.509,0.583
Misery Business,Paramore,True,1,-3.677,211520,0.0735,0.731,9.26e-06,1,0.00272,4,0.113,172.977,0.517,0.906
We Are The People,Empire of the Sun,True,0,-5.514,272175,0.0303,0.543,0.0121,4,0.0842,4,0.231,122.995,0.671,0.784
In the End,Linkin Park,True,0,-5.87,216880,0.0584,0.4,0,3,0.00958,4,0.209,105.143,0.556,0.864
Californication,Red Hot Chili Peppers,True,0,-2.788,329733,0.027,0.328,0.00165,9,0.0021,4,0.127,96.483,0.592,0.767
Drive,Incubus,True,0,-7.34,232453,0.036,0.666,0.0121,4,0.0562,4,0.119,90.565,0.645,0.792
I Don't Care,Fall Out Boy,True,0,-3.837,218880,0.058,0.516,1.29e-05,6,0.0018,4,0.339,133.976,0.532,0.923
When The Sun Goes Down,Arctic Monkeys,True,0,-4.755,200013,0.186,0.416,0,11,0.0363,4,0.108,169.512,0.35,0.874
Creep,Radiohead,True,1,-13.057,235667,0.035,0.126,0.000473,7,0.00563,4,0.115,91.834,0.532,0.344
Tears in Heaven,Eric Clapton,True,1,-12.238,271760,0.0257,0.312,0.536,9,0.835,4,0.133,153.744,0.498,0.242
I Heard It Through The Grapevine,Marvin Gaye,True,0,-13.017,195267,0.0393,0.679,0,8,0.195,4,0.101,116.855,0.729,0.324
Purple Haze,Jimi Hendrix,True,1,-5.249,171427,0.0786,0.434,0.728,2,0.00627,4,0.0668,108.599,0.529,0.898
Back To Black,Amy Winehouse,True,1,-3.304,240440,0.0392,0.335,2.68e-05,10,0.123,4,0.0983,123.28,0.49,0.725
On The Road Again,Canned Heat,True,1,-11.596,185813,0.0435,0.224,0,9,0.733,4,0.325,59.2,0.356,0.284
Let's Get It On,Marvin Gaye,True,1,-10.191,292067,0.0504,0.679,1.86e-06,3,0.0863,4,0.0532,166.492,0.553,0.637
Respect,Aretha Franklin,True,1,-5.226,147600,0.041,0.965,2.2e-05,0,0.164,4,0.0546,114.95,0.805,0.558
Sweet Dreams,Roy Buchanan,True,1,-7.942,212187,0.0334,0.327,0.833,7,0.0736,3,0.156,168.908,0.187,0.52
I Feel Free,Cream,True,0,-12.116,172560,0.0257,0.465,6.33e-06,11,0.225,4,0.172,87.839,0.396,0.427
Little Red Rooster,The Rolling Stones,True,1,-11.704,185200,0.0534,0.691,0.0262,7,0.066,3,0.113,109.346,0.729,0.444
Story of My Life,One Direction,True,1,-5.802,245493,0.0477,0.286,0,3,0.225,4,0.119,121.07,0.6,0.663
Song 2,Blur,True,1,-6.736,121880,0.0904,0.855,0.00447,8,0.00188,4,0.0657,129.701,0.658,0.709
House Of Fun,Madness,True,0,-4.684,171707,0.0288,0.985,0.00116,4,0.465,4,0.169,127.39,0.725,0.934
Swagger Jagger,Cher Lloyd,True,1,-2.84,191853,0.0969,0.571,0,2,0.0167,4,0.501,128.054,0.661,0.84
It's Not Unusual,Tom Jones,True,1,-5.806,121320,0.0828,0.887,0,0,0.683,4,0.219,92.482,0.485,0.864
Parklife,Blur,True,1,-6.905,187040,0.0606,0.749,0,4,0.154,4,0.328,138.391,0.632,0.877
Papillon,Editors,True,1,-5.157,324134,0.0612,0.633,0.00662,7,2.05e-05,4,0.301,125.99,0.505,0.949
Golden Skans,Klaxons,True,0,-2.931,166693,0.0402,0.723,2.44e-06,2,0.000781,4,0.283,141.915,0.448,0.817
Dynamite,Taio Cruz,True,1,-3.177,203867,0.0853,0.818,0,4,0.00332,4,0.0329,119.968,0.754,0.804
Just Say Yes,Snow Patrol,True,1,-5.519,284120,0.0328,0.255,2.98e-05,9,0.0203,4,0.0304,108.02,0.537,0.885
Nobody's Perfect,Jessie J,True,0,-3.22,259867,0.28,0.663,0,7,0.00228,4,0.663,163.064,0.581,0.881
Charmless Man,Blur,True,1,-6.092,213600,0.0425,0.791,0,9,0.00608,4,0.0538,116.601,0.523,0.891
Sleeping Satellite,Tasmin Archer,True,0,-9.864,281853,0.027,0.749,0.000225,5,0.171,4,0.258,96.075,0.6,0.824
The Cave,Mumford & Sons,True,1,-9.463,215627,0.0374,0.345,4.4e-05,4,0.0536,4,0.113,141.938,0.592,0.499
Honky Tonk Women,The Rolling Stones,True,1,-7.581,179987,0.0629,0.969,0.0153,7,0.425,4,0.115,120.244,0.556,0.727
Sit Down,James,True,1,-9.446,244867,0.029,0.569,0.00125,9,0.00263,4,0.122,126.077,0.561,0.706
Do I Wanna Know?,Arctic Monkeys,True,1,-7.596,272394,0.0323,0.405,0.000263,5,0.186,4,0.217,85.03,0.548,0.532
Wuthering Heights,Kate Bush,True,1,-11.381,269067,0.0312,0.52,0.0452,1,0.366,4,0.124,124.572,0.481,0.392
Delivery,Babyshambles,True,1,-4.196,161400,0.0377,0.753,3.78e-05,5,0.00252,4,0.283,140.905,0.501,0.909
Plug in Baby,Muse,True,1,-4.232,218000,0.05,0.349,0.000402,2,6.94e-06,4,0.11,136.018,0.408,0.965
This Is The Last Time,Keane,True,1,-6.732,209267,0.0308,0.35,9.23e-06,7,0.00196,4,0.125,131.675,0.524,0.763
DARE,Gorillaz,True,0,-5.852,245000,0.0372,0.966,0.0869,11,0.0229,4,0.298,120.264,0.76,0.891
Rock DJ,Robbie Williams,True,1,-4.307,260560,0.0326,0.842,0,7,0.026,4,0.0981,103.032,0.712,0.762
Close To Me,The Cure,True,1,-11.139,203267,0.116,0.965,0.703,11,0.0745,4,0.0811,185.075,0.724,0.523
Why Does It Always Rain On Me?,Travis,True,1,-9.271,265000,0.0274,0.397,0.000274,4,0.0827,4,0.0784,108.355,0.485,0.539
All Day and All of the Night,The Kinks,True,1,-5.062,142227,0.08,0.71,8.46e-05,7,0.247,4,0.0613,136.345,0.563,0.915
Where The Streets Have No Name,U2,True,1,-12.224,337973,0.0356,0.304,0.01,2,0.0151,4,0.174,125.547,0.491,0.621
Alfie,Lily Allen,True,1,-5.275,165053,0.0284,0.973,0,0,0.0184,4,0.0896,120.009,0.778,0.908
The Bartender And The Thief,Stereophonics,True,1,-3.548,174293,0.0639,0.34,0,0,0.0586,4,0.398,161.831,0.287,0.969
Talk,Coldplay,True,0,-10.839,311292,0.0334,0.163,0.00202,7,0.00541,4,0.155,120.318,0.415,0.554
Give Me Love,Ed Sheeran,True,1,-9.864,526387,0.0461,0.11,0,1,0.694,4,0.112,116.068,0.526,0.328
Baggy Trousers,Madness,True,0,-5.126,168587,0.0349,0.938,0,0,0.121,4,0.364,144.598,0.632,0.861
You Don't Have To Say You Love Me,Dusty Springfield,True,0,-5.416,169400,0.0372,0.609,0,2,0.476,3,0.0624,111.538,0.268,0.622
Life in Technicolor ii,Coldplay,True,1,-7.06,245100,0.0391,0.293,5.29e-05,9,0.00159,4,0.248,131.052,0.473,0.91
Troublemaker (feat. Flo Rida),Olly Murs,True,0,-3.689,185587,0.0565,0.965,0,0,0.015,4,0.125,106.008,0.762,0.863
Put Your Records On,Corinne Bailey Rae,True,1,-7.844,215360,0.0362,0.542,1.34e-06,9,0.167,4,0.133,96.038,0.739,0.511
Maybe Tomorrow,Stereophonics,True,0,-5.976,273160,0.0362,0.542,0.000167,7,0.21,4,0.354,80.9,0.495,0.679
LaserLight,Jessie J,True,1,-3.713,211947,0.061,0.818,5.27e-06,11,0.147,4,0.105,127.507,0.796,0.784
Mad World,Tears For Fears,True,1,-5.997,215400,0.0455,0.936,0.0285,4,0.0662,4,0.0621,118.721,0.646,0.902
Bangarang (feat. Sirah),Skrillex,True,1,-2.302,215253,0.196,0.576,3.22e-05,7,0.0145,4,0.317,110.026,0.716,0.972
Changed The Way You Kiss Me,Example,True,0,-3.778,193107,0.0413,0.284,0.000818,4,0.00871,4,0.119,126.97,0.576,0.842
Barbra Streisand,Duck Sauce,True,1,-2.27,300234,0.0882,0.406,0.453,1,0.000221,4,0.0409,127.959,0.798,0.927
Promises,NERO,True,0,-4.372,257360,0.0616,0.293,0.00639,9,4.5e-05,4,0.469,143.935,0.489,0.952
Lovers on the Sun (feat. Sam Martin),David Guetta,True,0,-2.505,203520,0.0387,0.568,3.88e-06,6,0.0932,4,0.379,124.915,0.645,0.891
Addicted To You,Avicii,True,0,-4.057,148387,0.0457,0.303,1.12e-06,1,0.0505,4,0.086,128.031,0.569,0.785
The Spark,Afrojack,True,1,-3.754,243754,0.0463,0.513,0,11,0.142,4,0.133,126.031,0.637,0.93
Crying for No Reason,Katy B,True,0,-4.847,243240,0.0343,0.221,0.000519,1,0.393,4,0.0789,111.976,0.664,0.712
What Is Love,Haddaway,True,0,-7.962,269456,0.0312,0.741,0.00783,7,0.0234,4,0.076,123.868,0.688,0.77
Clarity,Zedd,True,1,-3.48,271427,0.072,0.176,0,8,0.0398,4,0.0749,128.0,0.509,0.781
212,Azealia Banks,True,0,-7.462,203373,0.291,0.667,0,11,0.0852,4,0.229,125.993,0.858,0.789
Ghosts 'n' Stuff (feat. Rob Swire),deadmau5,True,1,-6.942,328747,0.129,0.491,0.105,8,4.73e-05,4,0.159,127.979,0.611,0.613
Groove Is in the Heart,Deee-Lite,True,0,-4.053,231787,0.0701,0.924,0.0196,1,0.0153,4,0.0851,121.554,0.694,0.881
I Got U,Duke Dumont,True,0,-7.752,285596,0.035,0.463,0.00784,9,0.00377,4,0.0851,120.837,0.636,0.761
Titanium (feat. Sia),David Guetta,True,0,-3.673,245040,0.103,0.301,0.153,0,0.0678,4,0.127,126.06,0.604,0.788
Dangerous (feat. Sam Martin),David Guetta,True,0,-4.838,203641,0.0795,0.43,9.76e-06,4,0.417,4,0.107,92.161,0.466,0.747
Party Rock Anthem,LMFAO,True,0,-4.168,262147,0.156,0.352,0,5,0.0206,4,0.265,130.014,0.751,0.736
Tidal Wave,Sub Focus,True,1,-5.307,228827,0.0412,0.514,1.3e-06,5,0.0446,4,0.635,173.96,0.522,0.868
Heroes (we could be),Alesso,True,1,-4.144,209867,0.0634,0.352,0,5,0.0373,4,0.239,125.876,0.521,0.754
Hey Brother,Avicii,True,0,-4.867,255093,0.0436,0.458,4.64e-05,7,0.0309,4,0.0828,125.014,0.545,0.78
Sexy And I Know It,LMFAO,True,1,-4.241,199493,0.318,0.822,0,7,0.112,4,0.199,130.014,0.71,0.851
Faded,ZHU,True,0,-7.183,223480,0.049,0.614,0.175,9,0.00843,4,0.113,124.979,0.867,0.477
Wake Me Up,Avicii,True,1,-5.697,247427,0.0523,0.643,0.0012,2,0.0038,4,0.161,124.08,0.532,0.783
Blame (feat. John Newman),Calvin Harris,True,0,-4.096,214427,0.085,0.367,0.00766,0,0.0282,4,0.404,127.931,0.412,0.859
Show Me Love,Robin S,True,1,-4.259,252107,0.153,0.567,2.06e-05,5,0.014,4,0.0769,120.258,0.811,0.833
Don't You Worry Child,Swedish House Mafia,True,0,-5.403,212960,0.0485,0.433,0,11,0.0411,4,0.175,129.02,0.614,0.772
Summer,Calvin Harris,True,0,-3.565,224507,0.0325,0.72,0.043,4,0.0215,4,0.1,127.962,0.603,0.861
This Is What It Feels Like,Armin van Buuren,True,1,-5.217,204360,0.03,0.145,2.77e-06,8,0.0391,5,0.0632,129.885,0.551,0.833
Greyhound,Swedish House Mafia,True,1,-4.989,410097,0.0521,0.539,0.876,0,0.00666,4,0.276,124.976,0.723,0.806
One More Time,Daft Punk,True,1,-8.618,320357,0.133,0.476,0,2,0.0194,4,0.332,122.746,0.613,0.697
Runaway (U & I),Galantis,True,1,-4.119,227074,0.0469,0.383,0.00193,1,0.00711,4,0.0856,126.008,0.506,0.805
I Hope You Dance,Lee Ann Womack,True,0,-9.627,294533,0.0295,0.275,0,7,0.0632,4,0.0898,151.278,0.385,0.443
Achy Breaky Heart,Billy Ray Cyrus,True,1,-10.209,203373,0.0303,0.961,0,9,0.051,4,0.0797,121.808,0.8,0.563
This Kiss,Faith Hill,True,1,-5.663,194907,0.0426,0.648,0,11,0.137,4,0.354,186.875,0.48,0.832
Can't Get You out of My Head,Kylie Minogue,True,0,-7.516,230640,0.0339,0.964,0.683,9,0.0263,4,0.115,126.007,0.766,0.563
Firestone,Kygo,True,0,-7.226,273684,0.052,0.391,6.63e-05,11,0.408,4,0.077,113.055,0.486,0.652
Lean On (feat. MØ & DJ Snake),Major Lazer,True,0,-3.081,176561,0.0625,0.274,0.00123,7,0.00346,4,0.565,98.007,0.723,0.809
Runaway (U & I),Galantis,True,1,-4.119,227074,0.0469,0.383,0.00193,1,0.00711,4,0.0856,126.008,0.506,0.805
Faded,ZHU,True,0,-7.195,223485,0.0488,0.596,0.116,9,0.00872,4,0.122,124.964,0.863,0.475
Easy Love,Sigala,True,1,-4.198,227709,0.0607,0.675,0.00103,9,0.188,4,0.149,123.989,0.681,0.948
Elastic Heart,Sia,True,1,-4.998,257200,0.0496,0.499,1.48e-05,9,0.0117,4,0.146,130.075,0.421,0.791
White Noise,Disclosure,True,0,-6.164,277688,0.0501,0.902,0.000215,10,0.00963,4,0.311,119.978,0.665,0.844
Icarus,Madeon,True,0,-2.284,214653,0.0514,0.146,0.365,1,0.000208,4,0.12,126.104,0.479,0.829
Waiting For Love,Avicii,True,0,-3.748,228750,0.0511,0.578,0,6,0.335,4,0.392,128.03,0.567,0.746
Ain't Nobody (Loves Me Better),Felix Jaehn,True,0,-6.967,186147,0.0315,0.465,0.000252,2,0.683,4,0.0696,117.973,0.777,0.564
Ready For Your Love,Gorgon City,True,1,-7.038,198881,0.154,0.471,0.0128,5,0.0531,4,0.333,121.939,0.677,0.753
Sincere,MJ Cole,True,1,-8.281,338960,0.142,0.71,0.258,1,0.211,4,0.133,132.643,0.824,0.788
Be Right There,Diplo,True,1,-5.199,237051,0.0548,0.297,0.112,7,0.00259,4,0.664,124.972,0.695,0.797
Cry For You,September,True,1,-3.377,211600,0.0304,0.96,0.000204,9,0.00141,4,0.0574,130.022,0.776,0.878
My Love,Route 94,True,1,-7.641,262000,0.0512,0.729,0.611,8,0.000139,4,0.0636,120.008,0.816,0.601
Around the World,Daft Punk,True,1,-5.311,429533,0.15,0.841,0.889,7,0.00356,4,0.0906,121.294,0.956,0.795
Turn Down for What,DJ Snake,True,0,-4.1,213733,0.156,0.0815,0.128,1,0.00107,4,0.057,100.014,0.818,0.799
Touch,Shift K3Y,True,0,-6.099,180840,0.247,0.6,1.99e-06,6,0.263,4,0.062,133.042,0.758,0.907
Blame (feat. John Newman),Calvin Harris,True,0,-4.078,212960,0.0808,0.348,0.00574,0,0.0287,4,0.343,128.024,0.414,0.857
La Isla Bonita,Madonna,True,0,-4.736,242947,0.0362,0.968,1.33e-06,1,0.392,4,0.0561,99.953,0.708,0.832
Dancing On My Own,Robyn,True,1,-4.663,288670,0.0349,0.261,0.225,6,0.0743,4,0.0966,117.015,0.687,0.865
