track,artist,charted,energy,tempo,speechiness,danceability,mode,key,liveness,valence,loudness,time_signature,duration_ms,acousticness,instrumentalness
I'm So Excited,The Pointer Sisters,True,0.858,92.305,0.0348,0.685,1,8,0.147,0.692,-6.496,4,229467,0.104,0.000119
Tragedy,Bee Gees,True,0.602,117.967,0.0268,0.667,1,2,0.282,0.778,-8.307,4,305320,0.0804,0.00771
Baby Baby,Corona,True,0.869,133.033,0.0311,0.639,1,7,0.0576,0.562,-8.479,4,228013,0.00336,0.002
Think,Aretha Franklin,True,0.75,110.102,0.0442,0.69,1,6,0.603,0.905,-6.449,4,138720,0.374,0
Die Young,Kesha,True,0.7,128.001,0.046,0.711,0,1,0.215,0.801,-4.805,4,211920,0.00498,0.000125
Sandstorm,Darude,True,0.965,136.065,0.0465,0.528,0,11,0.0797,0.587,-7.984,4,225493,0.141,0.985
Don't Wake Me Up,Chris Brown,True,0.691,127.967,0.051,0.602,0,7,0.144,0.206,-5.197,4,222307,0.0548,0
Girls Just Want to Have Fun,Cyndi Lauper,True,0.847,120.527,0.0361,0.705,1,6,0.406,0.743,-2.588,4,228120,0.414,3.21e-06
Africa,TOTO,True,0.373,92.718,0.0323,0.671,1,9,0.0481,0.732,-18.064,4,295893,0.257,8.01e-05
Like A G6,Far East Movement,True,0.869,125.024,0.314,0.629,0,7,0.191,0.715,-7.013,4,218347,0.00657,0
Classic,MKTO,True,0.781,102.078,0.121,0.713,1,1,0.155,0.8,-4.859,4,175333,0.0353,0
Car Wash,Rose Royce,True,0.706,112.985,0.0909,0.806,1,0,0.07,0.608,-6.044,4,312355,0.028,0
Replay,Iyaz,True,0.751,91.031,0.0708,0.706,1,9,0.168,0.195,-6.323,4,182307,0.173,0
Get Up Offa That Thing,James Brown,True,0.682,117.959,0.404,0.852,1,2,0.934,0.763,-10.041,4,251067,0.181,0
Best of My Love,The Emotions,True,0.57,115.376,0.0348,0.764,1,0,0.0812,0.972,-11.361,4,219933,0.45,0.362
Love Hangover,Diana Ross,True,0.83,111.506,0.0539,0.528,1,1,0.05,0.819,-6.351,4,224267,0.275,0.00118
Hotel Room Service,Pitbull,True,0.599,126.003,0.227,0.849,1,6,0.0763,0.761,-8.164,4,238507,0.00301,0.000249
Groove Is in the Heart,Deee-Lite,True,0.881,121.554,0.0701,0.694,0,1,0.0851,0.924,-4.053,4,231787,0.0153,0.0196
Demons,Imagine Dragons,True,0.71,179.561,0.0547,0.327,1,3,0.28,0.416,-2.928,4,175200,0.202,9e-05
Shake Your Body (Down to the Ground),The Jacksons,True,0.716,117.642,0.0621,0.828,1,0,0.342,0.848,-6.418,4,477240,0.0351,0.000156
Got 2 Luv U (feat. Alexis Jordan),Sean Paul,True,0.793,184.032,0.297,0.605,0,7,0.124,0.647,-3.084,4,196640,0.0825,0
S&M,Rihanna,True,0.682,127.975,0.042,0.767,1,1,0.104,0.833,-5.02,4,243533,0.0113,0.00016
See You Again,Miley Cyrus,True,0.911,138.975,0.177,0.692,0,9,0.112,0.801,-5.098,4,190453,0.0149,7.34e-05
Here I Am,Bryan Adams,True,0.772,98.962,0.0295,0.581,1,8,0.0837,0.172,-7.17,4,284893,0.00852,2.98e-05
Stuck On You,Elvis Presley,True,0.678,131.719,0.0463,0.649,1,7,0.129,0.96,-7.389,4,138827,0.775,0.000634
Happy,Pharrell Williams,True,0.757,159.911,0.153,0.652,1,1,0.0886,0.962,-6.819,4,233305,0.286,0
The Climb,Miley Cyrus,True,0.594,161.028,0.0324,0.338,1,4,0.0968,0.396,-6.607,4,237067,0.0757,0
Shooting Star,Boyzone,True,0.443,116.019,0.034,0.604,1,8,0.0553,0.231,-11.217,4,253120,0.201,2.22e-06
Titanium (feat. Sia),David Guetta,True,0.787,126.062,0.103,0.604,0,0,0.127,0.301,-3.674,4,245040,0.0679,0.15
I Need Air (feat. Angela Hunte),Magnetic Man,True,0.829,186.353,0.0818,0.429,1,9,0.0839,0.391,-5.156,4,258107,0.000905,0.139
I Remember,deadmau5,True,0.513,128.004,0.0464,0.813,0,11,0.116,0.602,-8.047,4,547493,0.0245,0.237
Ghosts 'n' Stuff,deadmau5,True,0.617,127.996,0.122,0.617,1,8,0.253,0.517,-6.941,4,328253,3.97e-05,0.0598
Starry Eyed,Ellie Goulding,True,0.831,149.915,0.0333,0.508,0,5,0.352,0.65,-5.273,4,176613,0.121,5.56e-06
Porcelain,Moby,True,0.637,94.73,0.0336,0.297,0,0,0.247,0.332,-7.926,4,241173,0.0014,0.18
When Love Takes Over (feat. Kelly Rowland),David Guetta,True,0.863,129.972,0.0255,0.658,1,11,0.2,0.496,-4.64,4,189000,0.0144,0.000193
Granite,Pendulum,True,0.925,174.089,0.0462,0.392,1,6,0.356,0.2,-6.349,4,283467,1.35e-05,0.703
Flat Beat,Mr. Oizo,True,0.42,128.977,0.578,0.924,1,0,0.403,0.455,-11.67,4,325173,0.000243,0.214
Breakn' a Sweat,Skrillex,True,0.921,139.969,0.074,0.596,0,11,0.536,0.232,-2.5,4,301987,0.0049,0.00019
Blind Faith,Chase & Status,True,0.85,140.05,0.0541,0.453,0,9,0.213,0.418,-4.776,4,233082,0.00585,1.61e-06
Language,Porter Robinson,True,0.614,127.987,0.4,0.737,0,6,0.0682,0.406,-6.001,4,368476,0.0168,0.0534
Natural Blues,Moby,True,0.653,107.988,0.0328,0.681,0,3,0.276,0.656,-7.891,4,253760,0.046,0.0513
Timber (feat. Ke$ha),Pitbull,True,0.965,129.972,0.101,0.587,1,11,0.138,0.825,-4.106,4,204053,0.0362,0
Emerge,Fischerspooner,True,0.734,147.941,0.0445,0.607,1,10,0.0925,0.569,-7.622,4,288307,0.0906,0.812
Hold On,Good Charlotte,True,0.937,137.861,0.0769,0.424,1,1,0.113,0.156,-5.354,4,245600,0.000884,0
New Divide,Linkin Park,True,0.808,117.971,0.0362,0.493,0,5,0.0983,0.38,-3.365,4,268613,0.000235,0
Lithium,Evanescence,True,0.632,117.887,0.0359,0.49,0,10,0.095,0.19,-3.847,4,224107,0.223,0
Wait and Bleed,Slipknot,True,0.996,93.345,0.104,0.382,1,7,0.417,0.327,-4.119,4,147840,0.00208,0
Complicated,Avril Lavigne,True,0.776,77.987,0.0459,0.585,1,5,0.3,0.427,-5.898,4,244507,0.0572,7.74e-06
Say Something,A Great Big World,True,0.147,141.284,0.0355,0.407,1,2,0.0913,0.0765,-8.822,3,229400,0.857,2.89e-06
The Hell Song,Sum 41,True,0.935,173.429,0.0817,0.359,0,8,0.351,0.658,-5.529,4,198493,0.000143,0.0141
Skinny Love,Birdy,True,0.29,166.467,0.051,0.379,1,4,0.118,0.169,-8.485,4,201080,0.952,0.00106
Call Me When You're Sober,Evanescence,True,0.876,93.444,0.0518,0.449,1,7,0.296,0.358,-4.09,4,214707,0.00159,0
The Phoenix,Fall Out Boy,True,0.964,138.063,0.072,0.562,0,4,0.579,0.41,-2.991,4,244960,0.000539,1.57e-06
