track_id,speechiness,duration_ms,tempo,energy,acousticness,valence,key,instrumentalness,liveness,loudness,danceability,time_signature,mode,track,charted,track_name,track_popularity,artist_id,artist_name,artist_popularity,artist_followers
5zF2zGPkL6Ipsn9AfAK6RP,0.0363,206200,95.05,0.868,0.0551,0.78,5,0.0,0.0987,-4.596,0.714,4,0,5zF2zGPkL6Ipsn9AfAK6RP,3,This Love,0,04gDigrS5kc9YWfZHwBETP,Maroon 5,85,38716706
5u7JGFtQNT0Zj7TOykBS7s,0.0649,178667,135.926,0.684,0.114,0.908,9,0.00785,0.364,-5.64,0.572,4,1,5u7JGFtQNT0Zj7TOykBS7s,78,White Sky,0,5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend,64,1823393
4E5PB55vLwQPIO1OvpU53S,0.043,236440,148.008,0.755,0.000102,0.519,0,0.00226,0.0927,-4.943,0.534,4,1,4E5PB55vLwQPIO1OvpU53S,79,Sleep Alone,0,536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,67,2211806
6HFbq7cewJ7rPiffV0ciil,0.0279,267867,124.97,0.675,0.00617,0.162,6,0.00197,0.209,-6.474,0.545,4,1,6HFbq7cewJ7rPiffV0ciil,9,A Sky Full of Stars,58,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,88,40064381
3G6hD9B2ZHOsgf4WfNu7X1,0.0929,193059,99.961,0.578,0.167,0.416,6,0.0,0.305,-7.436,0.69,4,1,3G6hD9B2ZHOsgf4WfNu7X1,29,Team,77,163tK9Wjr9P9DmM0AVK7lm,Lorde,76,9885762
3ZffCQKLFLUvYM59XKLbVm,0.0314,285653,104.98,0.814,0.023,0.146,7,0.0,0.0972,-5.146,0.546,4,1,3ZffCQKLFLUvYM59XKLbVm,8,Wake Me up When September Ends,77,7oPftvlwr6VrsViSDV7fJY,Green Day,78,13562825
0c4IEciLCDdXEhhKxj4ThA,0.0718,281040,180.301,0.417,0.127,0.218,10,0.00419,0.106,-7.665,0.502,4,1,0c4IEciLCDdXEhhKxj4ThA,25,Madness,67,12Chz98pHFMPJEknJQMWvI,Muse,75,7214355
2rjOaGr1mcTYePllS8crRf,0.0696,204200,186.813,0.941,0.00634,0.424,5,3.22e-06,0.076,-2.826,0.312,4,0,2rjOaGr1mcTYePllS8crRf,1,Ruby,2,0LbLWjaweRbO4FDKYlbfNt,Kaiser Chiefs,60,1211397
7KATU5SV5dNmETSDLbJmZc,0.0438,319467,105.53,0.909,0.0208,0.262,2,0.0,0.104,-4.424,0.234,4,1,7KATU5SV5dNmETSDLbJmZc,15,Jeremy,40,1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,73,7858934
7ouMYWpwJ422jRcDASZB7P,0.142,366213,137.114,0.963,0.000273,0.211,11,0.0122,0.115,-5.301,0.366,4,0,7ouMYWpwJ422jRcDASZB7P,10,Knights of Cydonia,69,12Chz98pHFMPJEknJQMWvI,Muse,75,7214355
