track_id,speechiness,duration_ms,liveness,tempo,loudness,mode,key,acousticness,time_signature,energy,instrumentalness,danceability,valence
7apywiCuMzvSZIa0SKeH99,0.0348,178947,0.333,132.003,-3.551,0,1,0.00263,4,0.976,0.00135,0.61,0.31
5W5JvIzGltRcBJRu6BJiev,0.0431,183747,0.226,127.981,-6.639,0,9,0.00536,4,0.699,0.00328,0.672,0.63
6PwbVXIomkvk4YcafiOc6i,0.0394,229333,0.119,132.824,-8.759,1,6,0.0836,4,0.94,0.00962,0.647,0.835
7Jwe4iWB1G6c7TE7fRedrm,0.0353,176120,0.071,128.041,-5.461,1,1,0.00118,4,0.923,0.338,0.589,0.0378
2u8MGAiS2hBVE7GZzTZLQI,0.0348,229467,0.147,92.305,-6.496,1,8,0.104,4,0.858,0.000119,0.685,0.692
1AOmpykwJdf2NOkxwZFIjP,0.0268,305320,0.282,117.967,-8.307,1,2,0.0804,4,0.602,0.00771,0.667,0.778
6LuHcIZmMG5LU2hiqxscNb,0.0583,280040,0.0712,127.999,-6.093,0,6,0.00104,4,0.604,4.51e-05,0.789,0.398
0kUGhnNaBqZt7SRznTaAEq,0.0311,228013,0.0576,133.033,-8.479,1,7,0.00336,4,0.869,0.002,0.639,0.562
5uvAIUrJq6V5T8zWVILoyb,0.0341,247373,0.202,96.993,-12.715,1,2,0.00195,4,0.551,0.846,0.57,0.656
0jkBzn7J5jc889TYxwvXy6,0.0442,138720,0.603,110.102,-6.449,1,6,0.374,4,0.75,0,0.69,0.905
1S4ENupfwIqYUPM2sgCief,0.0486,240027,0.234,128.021,-3.902,1,11,0.0233,4,0.825,0.000573,0.801,0.953
6mnjcTmK8TewHfyOp3fC9C,0.046,211920,0.215,128.001,-4.805,0,1,0.00498,4,0.7,0.000125,0.711,0.801
41KPpw0EZCytxNkmEMJVgr,0.0368,169920,0.147,125.026,-6.564,1,0,0.0075,4,0.781,0.825,0.802,0.622
6Sy9BUbgFse0n0LPA5lwy5,0.0465,225493,0.0797,136.065,-7.984,0,11,0.141,4,0.965,0.985,0.528,0.587
12Ns5IphkblPmHxpRILG9t,0.051,222307,0.144,127.967,-5.197,0,7,0.0548,4,0.691,0,0.602,0.206
20pPweU5sbfOOB1Qk5KCTx,0.0888,169307,0.216,109.951,-6.122,0,5,0.09,4,0.969,0,0.615,0.638
3zdv56EdfZi0ydbAZqbQ3M,0.185,199133,0.514,130.05,-2.47,1,9,0.174,4,0.916,0,0.741,0.79
51aX1O0irmJPUmRSNOhHhd,0.0421,246133,0.071,119.599,-14.046,0,7,0.0588,4,0.58,0.00385,0.871,0.914
1ohbjkuczl6hEoYEo931PH,0.0367,240933,0.131,124.713,-7.268,0,5,0.00136,4,0.822,0.0167,0.759,0.94
7sMGwiS4vOMcz86ZY3vKYM,0.0361,228120,0.406,120.527,-2.588,1,6,0.414,4,0.847,3.21e-06,0.705,0.743
6uYstQyYEv3oUWvPFfkeju,0.0594,232000,0.957,127.962,-5.492,0,11,0.0196,4,0.898,0.00342,0.788,0.809
5R9a4t5t5O0IsznsrKPVro,0.296,193213,0.188,193.437,-5.293,1,1,0.0383,4,0.584,0,0.426,0.272
2374M0fQpWi3dLnB54qaLX,0.0323,295893,0.0481,92.718,-18.064,1,9,0.257,4,0.373,8.01e-05,0.671,0.732
01gDLZsi0j5fWC28FLPNO8,0.0651,535333,0.101,138.341,-6.534,0,11,0.141,4,0.975,0.501,0.584,0.876
0y0QpmcF1G3F79rjk3fjUx,0.0916,338133,0.111,123.934,-10.828,0,2,0.0991,4,0.522,0.00184,0.835,0.91
0ZFJpY6hELA21Y5d5YmdlR,0.0248,212267,0.0811,109.123,-7.324,0,1,0.0261,4,0.791,0.000939,0.728,0.896
5mhUPDWQH3s544WCsa0r9w,0.0676,245360,0.0937,135.47,-7.085,1,10,0.00112,4,0.837,0.000624,0.547,0.568
0fYbhMj96zG9fpUK10e8kB,0.0623,366573,0.109,120.197,-9.961,1,0,0.403,4,0.679,1.02e-06,0.472,0.544
5S1yeuswEPofFOCkMFLNLc,0.314,218347,0.191,125.024,-7.013,0,7,0.00657,4,0.869,0,0.629,0.715
6w2A10HCO5nhBCaNLk4aS2,0.236,258520,0.276,128.006,-7.014,1,1,0.00208,4,0.589,0.319,0.973,0.201
7ffy9j9V0hmHQRTiiyVRp0,0.0446,209267,0.0783,109.842,-9.035,0,10,0.0442,4,0.766,0,0.767,0.919
6MvTH94jL3GxlVFO5Ssk1L,0.0804,231509,0.0737,115.955,-6.582,0,10,0.0311,4,0.825,0,0.715,0.262
6jPggfBgf9SFe1Ae4HTBxA,0.0447,229587,0.122,159.644,-4.951,0,4,0.187,4,0.7,2.12e-06,0.551,0.222
4B2jOTUZBnlrjLHK1ertFR,0.0353,183520,0.332,148.882,-10.991,1,7,0.182,4,0.586,0,0.496,0.899
5x9VIW2fS21JMswOt6AORI,0.121,175333,0.155,102.078,-4.859,1,1,0.0353,4,0.781,0,0.713,0.8
1tJtx09XQnxaynZLOaTNfZ,0.0909,312355,0.07,112.985,-6.044,1,0,0.028,4,0.706,0,0.806,0.608
4HXwANiIbYQvwDTcLXiacY,0.154,253173,0.0362,119.309,-3.893,0,10,0.242,4,0.928,0.619,0.628,0.81
4wZOmbYApgoF2zD9IHznDD,0.0462,306787,0.119,126.394,-4.772,0,11,0.143,4,0.862,0.000333,0.684,0.884
5vlEg2fT4cFWAqU5QptIpQ,0.0708,182307,0.168,91.031,-6.323,1,9,0.173,4,0.751,0,0.706,0.195
33qw98yPnShEQMoF72ORUa,0.0432,181267,0.395,128.052,-4.705,1,8,0.000437,4,0.903,0,0.544,0.443
