track_id,track_name,track_popularity,artist_id,artist_name,artist_popularity,artist_followers
1yjY7rpaAQvKwpdUliHx0d,Still into You,77,74XFHRwlV6OrjEM0A2NCMF,Paramore,78,7312731
5lDriBxJd22IhOH9zTcFrV,Dirty Little Secret,70,3vAaWhdBR38Q02ohXqaNHT,The All-American Rejects,65,2406131
0Bw1mOzGbjgvn2Wgrd7EFE,Strangers,26,4o1mf6VhPYeSoQkMcfB0HG,Lotus Plaza,20,22765
0Wl42CUb1phIU9O2aR1wXI,Disarm,49,40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,71,4202480
3HE50TVRquwXe9yv2HFoNL,Never Too Late,69,2xiIXseIJcq3nG7C8fHeBj,Three Days Grace,74,5303177
45kbpUIFmkS9Xla7hMXpzn,One More Night,45,04gDigrS5kc9YWfZHwBETP,Maroon 5,85,38716706
6Wx88Mv6b9ofjKMKkdwOJd,New Divide,69,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,82,22125750
5wvYib82q05wiNjLElD8GJ,Dig,62,3YcBF2ttyueytpXtEzn1Za,Incubus,67,2973665
33e9HtOfO1ye1h8xQ7Foc9,The Cave,0,3gd8FJtBJtkRxdfbTu19U2,Mumford & Sons,71,6386564
4NwJWJ7rIZBnv8TwNRhGG2,Left Hand Free,35,3XHO7cRUPCLOr6jwp8vsx5,alt-J,69,3080433
1ujkNl9ASh78Y6WbmWDGG4,Love Run Dry,0,3it7AeHVfXdby9tbwEwE3f,Owl Eyes,36,21980
0wqOReZDnrefefEsrIGeR4,Hanging By A Moment,66,5PokPZn11xzZXyXSfnvIM3,Lifehouse,63,1859139
1VQ6FXasIrdkshSHfX6sde,Entertainment,0,1xU878Z1QtBldR7ru9owdU,Phoenix,65,1804670
5rHoZOh481VFV9kJovM9RI,Fader,48,4W48hZAnAHVOC2c8WH8pcq,The Temper Trap,66,666424
0ksiY8wT3FO1jrnafef7oR,Up & Out,0,2GLf7iaOOujAem5R87xwto,Matthew Dear,36,60316
0BCPKOYdS2jbQ8iyB56Zns,Clocks,81,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,88,40064381
48O6kz322Dzu1R6Al5147q,MakeDamnSure,0,24XtlMhEMNdi822vi0MhY1,Taking Back Sunday,61,764443
7n3REqDfZBpkd0bEpGu2H3,Mr. Jones,52,0vEsuISMWAKNctLlUAhSZC,Counting Crows,67,1567961
42BAwiGC1egjbiJ6y512Tz,Turning Page,51,0MeLMJJcouYXCymQSHPn8g,Sleeping At Last,69,1298567
76aadnUFFANRNDs6L3aqxw,Through Glass,49,49qiE8dj4JuNdpYGRPdKbF,Stone Sour,63,2598791
0xM88xobymkMgg46MStfnV,Hey There Delilah,0,1g1yxsNVPhMUl9GrMjEb2o,Plain White T's,63,1119337
1Yx14H70IqBQJZVLEe3aYR,Sympathy,0,2CnhqfjUG0qzsru0SMuhrk,Title Fight,56,222590
4wzt5Rrk3W98pHXAqutuJw,Talk,64,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,88,40064381
4qx6KUiBAsuZB9ubcreapu,Matilda,0,3XHO7cRUPCLOr6jwp8vsx5,alt-J,69,3080433
0r889dvYqWPXM3luCPNXCu,World Heaves,0,4Sw0SFu1fFdYXdAEVdrqnO,Mount Eerie,44,117656
6qRfox98MxG58sqoPPn8QY,Everybody's Changing,47,53A0W3U0s8diEn9RhXQhVz,Keane,72,2725273
57nNNkgk768QVXq3uHxu5e,Ways to Go,59,3kVUvbeRdcrqQ3oHk5hPdx,Grouplove,63,1113790
0jBE7Fn78EAvmIs3dCd6GO,Is This It,59,0epOFNiUfyON9EYx7Tpr6V,The Strokes,74,4635663
1zBFEYEwHKCahttaE2mhg7,Down,0,41Q0HrwWBtuUkJc7C1Rp6K,311,60,889759
6eGopKq3yJdP8VO0P6n07Q,Easy Way Out,36,2AsusXITU8P25dlRNhcAbG,Gotye,67,2327054
4xanWVQIzdCf51mg8cd1cQ,Times Like These,54,7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,76,10391287
6JugKFXssO9L2tN8omeTPt,Thunder Clatter,0,5cTn7jRVGqTdmgMW75FIal,Wild Cub,34,35881
31hUonEmUsEVd0FMRv1s5r,Not Your Fault,51,4njdEjTnLfcGImKZu1iSrz,AWOLNATION,61,2079330
2MVwrvjmcdt4MsYYLCYMt8,Tighten Up,61,7mnBLXK823vNxN3UWB7Gfz,The Black Keys,69,3768862
5IWmU2PNimgYuTLddU2DRo,Payphone,0,04gDigrS5kc9YWfZHwBETP,Maroon 5,85,38716706
3e0yTP5trHBBVvV32jwXqF,Anna Sun,62,6DIS6PRrLS3wbnZsf7vYic,WALK THE MOON,67,1988320
2xwedMsRwKEtLos3oN5pt9,Reunion,0,63MQldklfxkjYDoUE4Tppz,M83,69,2136342
33ytgjBqchYHhhRfKWMCvH,Fell In Love With A Girl,0,4F84IBURUo98rz4r61KF70,The White Stripes,70,2755539
6Gje7rIGi9HMOfcOf8YPUW,A Kingdom,0,7sx3r4lMo079vO7lIi0fng,Lanterns on the Lake,30,30043
3dw0A0cbqT6Oy2V8KfGwIT,Tiptoe,49,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,88,43605162
7AZtv7mEE1jvZH6YOisyPa,Shot At The Night,0,0C0XlULifJtAgn6ZNCW2eu,The Killers,76,6741473
34KTEhpPjq6IAgQg2yzJAL,Californication,59,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,82,18737069
43O3Iu8mDJy10i6k8SVRXX,Take It or Leave It,56,26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant,73,3054259
2QhURnm7mQDxBb5jWkbDug,Don't Panic,70,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,88,40064381
5X4b5yuoihfPbZMzSOhg8M,Giants,0,3ViZST9PgFoieuOHY2GZMp,Bear Hands,39,100840
4AyoAGuhE8gydBPrczuhbl,Trojans,46,42vg2T0Xg9yPaAgogJzoQH,Atlas Genius,47,330063
4wNEUdRiOYklc5nukUVg0o,Stay Up Late,16,1yhtlCNnRgCNGnsy2K7mHm,JEFF The Brotherhood,29,39596
04xogwJOuihGJT6oUatJ1N,Flood's New Light,20,3qYfqdVwX0fil71onLpLkh,Thee Oh Sees,50,273513
33iv3wnGMrrDugd7GBso1z,My Own Worst Enemy,72,5mgr0FFpvy267wKVAYg8qp,Lit,56,290072
0UZwcRQAk4QR09HtGRZhYC,Closer To The Edge,59,0RqtSIYZmd4fiBKVFqyIqD,Thirty Seconds To Mars,66,3249831
6c9t15M38cWxyt3uLnLfD8,Santa Fe,0,6pmxr66tMAePxzOLfjGNcX,Beirut,57,940223
13P5rwmk2EsoFRIz9UCeh9,Cool Kids,75,1PbBg2aYjWLKRk84zJK15x,Echosmith,60,590592
1hWrl3T1kIH5b9zRHLfCOn,What's My Age Again?,0,6FBDaR13swtiWwGhX1WQsP,blink-182,78,7288122
1OppUXF0ZsVATRbEyHOTyA,Cha-Ching (Till We Grow Older),40,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,88,43605162
2Foc5Q5nqNiosCNqttzHof,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,81,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,80,9029109
7gpy7sfWPNuOKmUNs3XQYE,Carry On,59,5nCi3BB41mBaMH9gfr6Su0,fun.,66,3507632
6vSq5q5DCs1IvwKIq53hj2,Animal,59,4l1cKWYW591xnwEGxpUg3J,Miike Snow,55,616082
7K2vo9oSUzFgmtIXNYegzP,Fire,41,11wRdbnoYqRddKBrpHt4Ue,Kasabian,62,1669010
52a6VcF23v5HB7KfDEmBHq,Carried Away,57,7gjAu1qr5C2grXeQFFOGeh,Passion Pit,57,1224723
0z5Ab6KNkCOwahHmQVyZSA,Moth Wings,0,4skJp5OKvcc9eKokiuhi2s,Pond,50,301702
07q6QTQXyPRCf7GbLakRPr,Everlong,56,7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters,76,10391287
5sTVykpRs4eiZKn96bZogj,The Feel Good Drag,59,5v61OSg53KaQxGMpErkBNp,Anberlin,54,295537
46Kcradxrva9Dny4lHU1b3,Miss Jackson (feat. LOLO),63,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,77,11541794
1G8jae4jD8mwkXdodqHsBM,Name,65,2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,70,2371692
2ZQyksYO4zzhyHNcueL0CP,Home,0,6p5JxpTc7USNnBnLzctyd4,Phillip Phillips,61,1016723
2HHiH52OPxe8qyVO7N4uH7,Bad Blood,47,7EQ0qTo7fWT7DPxmxtSYEc,Bastille,74,5194201
0c4IEciLCDdXEhhKxj4ThA,Madness,67,12Chz98pHFMPJEknJQMWvI,Muse,75,7214355
1YI0uK36eupTmw9F8kHysr,Sunday Morning,66,04gDigrS5kc9YWfZHwBETP,Maroon 5,85,38716706
3aLCMI1ybjE4KWu9nkUBkx,Submarines,0,16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,76,4937158
2dBwB667LHQkLhdYlwLUZK,Summertime Sadness,70,00FQb4jTyendYWaN8pK0wa,Lana Del Rey,88,18922353
4HRa9ZWcmZ8JD7UySPu0wT,Don't Stop (Color on the Walls),61,7gP3bB2nilZXLfPHJhMdvc,Foster The People,70,3562530
573latfTMO7SpGtStVrQx5,Harlem,57,3RbyaF3Pq6iDUKNp04AIcU,New Politics,47,283706
2LdG9xtEzCho3jCr58M6cq,Arabella,0,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,87,17060943
77eRSoQbDt4qHlAhUqovmy,Nice to Know You,58,3YcBF2ttyueytpXtEzn1Za,Incubus,67,2973665
2nLtzopw4rPReszdYBJU6h,Numb,83,6XyY86QOPPrYVGvF9ch6wz,Linkin Park,82,22125750
