track_id,track_name,artist_id,artist_name
2nVP9QNyvo0H1FoRkMAT9X,Boom Boom,1yNOfXGQNGjAynk77wv85x,John Lee Hooker
2ED1VZ53iRImo252U2PEsu,Miserere,4I47QTluHCo2t2Gj6V7AIG,Gregorio Allegri
1JY6B9ILvmRla2IKKRZvnH,Sad Machine,3dz0NnIZhtKKeXZxLOxCam,Porter Robinson
4xiyq1iRdsxuU1BPUJ490Z,Close To Me,7bu3H8JO7d0UbMoVzbo70s,The Cure
50yVEqOnLHtRTHWq3PWBuZ,Mary Had a Little Lamb,5fsDcuclIe8ZiBD5P787K1,Stevie Ray Vaughan
2CT3r93YuSHtm57mjxvjhH,Wonderwall,2DaxqgrOhkeH0fpeiQq2f4,Oasis
4zmx3vEPgRPjRT2CszUsZo,White Wedding - Part 1 - 2001- Remaster,7lzordPuZEXxwt9aoVZYmG,Billy Idol
4t0UsYzmmmZRMTWn77jiGF,Show Me Love,2WvLeseDGPX1slhmxI59G3,Robin S
48bFgWuYofpZqmIxC82R8V,Awaken (feat. Jack Liebeck),0s1ec6aPpRZ4DCj15w1EFg,Dario Marianelli
6OGRM4MAOlyOdhHuX0OJ6P,A New Error,2exkZbmNqMKnT8LRWuxWgy,Moderat
1dv3ePjze9tPq2pk8eWJdR,Gimme Shelter,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones
22UQelxzCIskdmb8pIqq8U,Babel,3gd8FJtBJtkRxdfbTu19U2,Mumford & Sons
0GSU6yLOJqO10ziQuBLWOE,One Day (Vandaag) - Radio Edit,3MyFDtqB80WZvbtCZRsekM,Bakermat
7kXmJwrZGIhDaLT9sNo3ut,Hey Boy Hey Girl,1GhPHrq36VKCY3ucVaZCfo,The Chemical Brothers
7pHdkCXkeC8AYHMcIDzUdf,"The Planets, Op. 32: Jupiter, the Bringer of Jollity",5B7uXBeLc2TkR5Jk23qKIZ,Gustav Holst
5CMjjywI0eZMixPeqNd75R,Lose Yourself to Dance (feat. Pharrell Williams),4tZwfgrHOc3mvqYlEYSvVi,Daft Punk
3jfr0TF6DQcOLat8gGn7E2,Do I Wanna Know?,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys
5MIMD5WMooNWe8QsMqCrE8,I Want,4AK6F7OLvEQ5QYCBNiQWHq,One Direction
1oLVPN07o3aAgKAVWjhRRn,I'm Cryin',5fsDcuclIe8ZiBD5P787K1,Stevie Ray Vaughan
2Oj5BXOY01EDuJhVYNlEoq,Safe And Sound,4gwpcMTbLWtBUlOijbVpuu,Capital Cities
4E5PB55vLwQPIO1OvpU53S,Sleep Alone,536BYVgOnRky0xjsPT96zl,Two Door Cinema Club
6HFbq7cewJ7rPiffV0ciil,A Sky Full of Stars,4gzpq5DPGxSnKTe4SA8HAU,Coldplay
6QFE0KgBhKt01IeA0NLpwE,Midnight Special,3Ovf2lytXSXWFM2cwsJACC,Lead Belly
6HHhzDzw2YlOs7FppLaUD9,Juke - Single Version,22JuR9OeENcP54XN5TlNWS,Little Walter
0v6tG0HoAHiluZAeany7oU,Call It Stormy Monday,5aygfDCEaX5KTZOxSCpT9o,Albert King
7GptbanebPZYkLPvjNfd6m,Buddy Holly,3jOstUTkEu2JkjvRdBA5Gu,Weezer
0a7BloCiNzLDD9qSQHh5m7,"Dance, Dance",4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy
7psPPGwhFzP3pyOcb3ivcT,Unbelievers,5BvJzeQpmsdsFp4HGUYUEx,Vampire Weekend
0ywS1RVLEGyv3xuXLUKUrc,Boss Mode,2DuJi13MWHjRHrqRUwk8vH,Knife Party
