track_id,track_name,artist_id,artist_name
0HcFwxB0xFUkPVeRDu3TH3,"Le Nozze di Figaro, Act 3: Eccove, oh caro amico",4NJhFmfw43RLBLjQvxDuRS,Wolfgang Amadeus Mozart
3f5uoZULtS1IwYPGZ2Jugj,"Carmen, Act II, No.17 Duo (continued...): La fleur que tu m'avais jetée (Don José)",0O84txjOXO0jAR4JLDvY8T,Roberto Alagna/Orchestre National du Capitole de Toulouse/Michel Plasson/Choeur 'Les Elements'
1BsjTRaRpecBv1KTVWc7FE,"Vivaldi: Giustino, RV 717: ""Vedrò con mio diletto"" (Anastasio)",2QOIawHpSlOwXDvSqQ9YJR,Antonio Vivaldi
62N2JSA0jHmSH7Va9t7hIf,Habits (Stay High) - Hippie Sabotage Remix,4NHQUGzhtTLFvgF5SZesLK,Tove Lo
6rPO02ozF3bM7NnOV4h6s2,Despacito - Remix,4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi
4dSoDnmR9opAQ8KxUc9SbC,Mad Love,3Isy6kedDrgPYoTS1dazA9,Sean Paul
48QmG1dfvMuYLxMPt7KSRA,No Lie,3Isy6kedDrgPYoTS1dazA9,Sean Paul
1LHZMWefF9502NPfArRfvP,Lift Me Up (feat. Rob Halford of Judas Priest),5t28BP42x2axFnqOOMg3CM,Five Finger Death Punch
0UvVZwaKrd4JRXS03D59p0,Lake Effect Kid,4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy
4JiEyzf0Md7KEFFGWDDdCr,Knockin' On Heaven's Door,3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses
0gmbgwZ8iqyMPmXefof8Yf,How You Remind Me,6deZN1bslXzeGvOLaLMOIF,Nickelback
25ttbACknSKxdXAZchsIne,Magic Carpet Ride,1WRM9i067hd2ujxxi8FI3m,Steppenwolf
2nVHqZbOGkKWzlcy1aMbE7,Kashmir - 1990 Remaster,36QJpDe2go2KgaRleHCDTp,Led Zeppelin
1WyKUC38eOdVissKP4VzpA,Rock & Roll Queen,4BntNFyiN3VGG4hhRRZt9d,The Subways
6eZty59x9DiyYgRmk9Lceq,Overture/Big Bright Beautiful World,3oYQrBzEQNpxnjWXP54B4n,Brian D'Arcy James
6uSa5iCMwPr10Ftpz8w09b,Love,3UVRliakQfa1pMWIsNuiZ8,Musiq Soulchild
0DcrhZ12WcCqruCs8ibXSf,I Can See Clearly Now - Edit,0nAVvgfE9yI4DwvMiYwk8a,Johnny Nash
4a7l0PGCa7LtyzLE9DfRe2,Hot Lazy Porch Swing,6LH5eFiToHmJAkdVNnJiJu,Cinema Guitar Works
1VbD7IkGVqi8VOksRBwrC0,Having a Party,6hnWRPzGGKiapVX1UCdEAC,Sam Cooke
7mMZJztfzK7u1eSjNoQzvh,Do You Love Me,2ugPdplEWBmyU6EcIzlcY1,The Contours
0bd61NWrbAY48KFvDuq3tF,Shop Around,6TqQLejnHXMGr7KcegxUND,The Miracles
49eplIHvgCLY8HAgcaWrUb,Fireball (feat. John Ryan),0TnOYISbd1XYRBk9myaseg,Pitbull
21K6jcmZPktm7MftqfLfLg,I Knew You Were Trouble,06HL4z0CvFAxyc27GXpf02,Taylor Swift
6CkIKkafORmB2rcKahUA4l,Harmonisch Serie,0WSSKmoRbxqLf3MnXInQ2J,Max Cooper
