track_id,track_name,artist_id,artist_name
3kZC0ZmFWrEHdUCmUqlvgZ,I Will Follow You into the Dark,0YrtvWJMgSdVrk3SfNjTbx,Death Cab for Cutie
1UBd7aWHZCz8yirI9KCvAU,"Becoming one of ""The People"" Becoming one with Neytiri",3PhL2Vdao2v8SS8AptuhAr,James Horner
50uGbeaQIxKiSc7jvRTjWx,(Sittin' On) the Dock of the Bay,60df5JBRRPcnSpsIMxxwQm,Otis Redding
4RnCPWlBsY7oUDdyruod7Y,Drunk,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran
0rkajHs0Kcw73nFDlKmuBk,"Piano Sonata No.12 In F, K.332: 2. Adagio",4NJhFmfw43RLBLjQvxDuRS,Wolfgang Amadeus Mozart
6BivCuyKJtgLa9ooFsvUoZ,Flicker,3dz0NnIZhtKKeXZxLOxCam,Porter Robinson
3IGj5Ecom7OlhHQnQG73AZ,Give Me Back My Wig,5fsDcuclIe8ZiBD5P787K1,Stevie Ray Vaughan
6HvGBgyevPFMrU3KPSHeRV,She's Not Afraid,4AK6F7OLvEQ5QYCBNiQWHq,One Direction
2nVP9QNyvo0H1FoRkMAT9X,Boom Boom,1yNOfXGQNGjAynk77wv85x,John Lee Hooker
6vZdRrueM9ZEJjx6EWe1XQ,Stolen Dance,1hzfo8twXdOegF3xireCYs,Milky Chance
6ZFbXIJkuI1dVNWvzJzown,Time,0YC192cP3KPCRWx8zr8MfZ,Hans Zimmer
1OZSVl0JJ1MBzibpuhmmXb,One Day Like This,0TJB3EE2efClsYIDQ8V2Jk,Elbow
4HEoHSEH8cEYGJBzOgXqX3,"3 Pieces for piano, Op. 2: No. 1. Etude in C Sharp Minor",6nZiWg5ZB511S24WmB7TCV,Alexander Scriabin
1TCPTTMCbLlGWjiXSSrQWP,Gypsy Woman,4y6J8jwRAwO4dssiSmN91R,Muddy Waters
1amH1FjaNDAaZVpHWzcztW,Ain't No Sunshine,2gCsNOpiBaMNh20jQ5prf0,Buddy Guy
5oPUBUzrAnwvlmMzl1VW7Y,Breathe,4k1ELeJKT1ISyDv8JivPpB,The Prodigy
57460SJgSpCXaRJ9YIYHxy,Going Up The Country,27a0GiCba9K9lnkKidroFU,Canned Heat
35aNHKBZWXXbL9KQK7O5Nk,Hurricane,4XaUmUGjidSklcDHxv3XWf,MS MR
6VRhkROS2SZHGlp0pxndbJ,Bangarang (feat. Sirah),5he5w2lnU9x7JFhnwcekXX,Skrillex
6UO755OcSvOPVVZOaJVH7v,Sun Goes Down (feat. Jasmine Thompson) - Radio Mix,3t5xRXzsuZmMDkQzgOX35S,Robin Schulz
5YS9gUKBLEOBq0eVZl2klr,"From the Bohemian Forest, Op. 68, B. 182: No. 5, Silent Woods",6n7nd5iceYpXVwcx8VPpxF,Antonín Dvořák
0U0ldCRmgCqhVvD6ksG63j,Nightcall,0UF7XLthtbSF2Eur7559oV,Kavinsky
5NinL2jNwjeRpHwTFeRSv9,"Monteverdi: L'incoronazione di Poppea, SV 308, Act 3: ""Pur ti miro"" (Neron, Popea)",5iAhVgz6P8Nylxijb0C65v,Claudio Monteverdi
5dhQCqONiQji7k4RkhIcjq,I Miss You,6FBDaR13swtiWwGhX1WQsP,blink-182
72C7aUQECOhNtnD0AC36ua,They Don't Know About Us,4AK6F7OLvEQ5QYCBNiQWHq,One Direction
3R1IsSbZFNW4IVPC2Kfack,Bad Penny,1kcWyDvrlPUbyxkIoM6pAV,Rory Gallagher
7K2vo9oSUzFgmtIXNYegzP,Fire,11wRdbnoYqRddKBrpHt4Ue,Kasabian
