track,artist,charted,energy,tempo,speechiness,danceability,mode,key,liveness,valence,loudness,time_signature,duration_ms,acousticness,instrumentalness
Brown Eyed Girl,Van Morrison,False,0.586,148.882,0.0353,0.496,1,7,0.332,0.899,-10.991,4,183520,0.182,0
Summer Of '69,Bryan Adams,False,0.853,138.8,0.041,0.491,1,2,0.0875,0.74,-5.419,4,212893,0.00587,2.38e-06
Don't Let Me Be Misunderstood,Santa Esmeralda,False,0.815,117.809,0.0833,0.668,0,9,0.0498,0.785,-8.998,4,628547,0.0326,0.00102
Play My Music,Jonas Brothers,False,0.875,177.98,0.087,0.471,1,2,0.239,0.759,-3.499,4,197507,0.000652,0
I Don't Dance,Chad,False,0.885,104.083,0.094,0.805,0,9,0.191,0.713,-5.008,4,217467,0.00343,0
We Rock,Cast Of Camp Rock,False,0.953,143.849,0.11,0.638,0,8,0.12,0.799,-3.491,4,190933,0.00635,0
Hold On,Rusko,False,0.689,139.833,0.0438,0.505,0,11,0.117,0.237,-4.639,4,274867,0.00806,0.000921
Superbad,Flux Pavilion,False,0.928,139.937,0.0534,0.535,1,7,0.0674,0.614,-2.488,4,222823,0.000241,0.444
Bass Cannon,Flux Pavilion,False,0.827,139.928,0.0363,0.675,0,8,0.68,0.0402,-4.292,4,310411,0.00138,0.865
Shot Yourself In The Foot Again,Example,False,0.782,140.002,0.0379,0.583,0,11,0.186,0.202,-4.728,4,223867,0.00121,0
Bad Blood,Bastille,False,0.777,143.003,0.0375,0.663,0,5,0.0755,0.94,-5.496,4,212613,0.0157,0.00829
Sofi Needs A Ladder,deadmau5,False,0.707,128.01,0.052,0.779,1,5,0.746,0.341,-7.755,3,403088,0.00429,0.00273
Alive,Empire of the Sun,False,0.885,119.952,0.0362,0.522,1,5,0.0685,0.432,-3.086,4,204591,0.103,1.25e-06
Addicted,Simple Plan,False,0.751,139.51,0.0435,0.522,1,1,0.158,0.605,-5.46,3,232067,0.000491,2.22e-06
Weightless,All Time Low,False,0.931,181.069,0.134,0.479,1,2,0.121,0.618,-4.474,4,198000,0.00309,0
Ivy & Gold,Bombay Bicycle Club,False,0.681,128.994,0.0307,0.616,1,6,0.0756,0.888,-7.361,4,176072,0.743,0.031
Recovery,Frank Turner,False,0.858,155.829,0.0519,0.519,1,9,0.0729,0.843,-3.911,4,208034,0.0563,0
Home,Phillip Phillips,False,0.792,121.001,0.0335,0.592,1,0,0.159,0.293,-5.884,4,209227,0.0215,0
Whiskey in the Jar,The Dubliners,False,0.834,108.145,0.0467,0.551,1,0,0.309,0.661,-5.238,4,178533,0.795,0.148
Hurricane,Bob Dylan,False,0.827,135.601,0.0782,0.509,1,0,0.12,0.743,-7.715,4,512733,0.0409,0
Timshel,Mumford & Sons,False,0.206,163.418,0.0386,0.313,1,5,0.701,0.137,-17.137,4,202387,0.839,0
Shake Your Rump To The Funk,The Bar-Kays,False,0.907,113.45,0.0377,0.726,1,4,0.0339,0.784,-5.604,4,256387,0.0157,2.47e-05
Superfly,Curtis Mayfield,False,0.708,120.11,0.11,0.784,1,2,0.0913,0.748,-9.141,4,233600,0.457,7.5e-05
More Bounce to the Ounce,Zapp,False,0.762,105.258,0.0814,0.856,1,5,0.296,0.839,-10.445,4,312507,0.112,0.00549
Give It To Me Baby,Rick James,False,0.727,119.55,0.0456,0.706,1,11,0.174,0.965,-8.714,4,248133,0.114,7.7e-05
Pure Massacre,Silverchair,False,0.779,187.56,0.0371,0.233,0,2,0.116,0.504,-6.96,4,298560,0.000133,5.87e-05
Far Behind,Candlebox,False,0.721,93.35,0.0356,0.318,1,7,0.965,0.419,-7.784,4,311880,0.00878,0
One,Creed,False,0.933,110.911,0.0352,0.554,0,6,0.114,0.411,-3.664,4,302427,2.02e-05,1.96e-05
Hands All Over,Soundgarden,False,0.931,181.009,0.0686,0.236,1,7,0.104,0.228,-10.009,4,360360,0.0076,0.455
Dollar Bill,Screaming Trees,False,0.864,83.682,0.0556,0.186,1,5,0.127,0.223,-6.012,4,274973,3.62e-05,1.08e-05
Doesn't Remind Me,Audioslave,False,0.768,99.739,0.0378,0.457,1,9,0.103,0.232,-3.592,4,255000,0.169,0
Strictly Business,EPMD,False,0.895,96.338,0.254,0.712,0,10,0.108,0.727,-4.212,4,285413,0.181,1.8e-05
Playinwitme (feat. Kehlani),KYLE,False,0.584,156.572,0.119,0.689,0,1,0.297,0.676,-5.768,4,191680,0.339,0
The Breaks,Kurtis Blow,False,0.576,112.877,0.109,0.91,0,11,0.195,0.907,-13.256,4,463733,0.0987,0.0023
Esskeetit,Lil Pump,False,0.505,139.93,0.168,0.934,1,11,0.0867,0.691,-7.648,4,181714,0.0229,0
Till I Collapse,Eminem,False,0.847,171.447,0.186,0.548,1,1,0.0816,0.1,-3.237,4,297787,0.0622,0
Comin Out Strong (feat. The Weeknd),Future,False,0.481,108.761,0.475,0.628,1,1,0.118,0.33,-7.775,5,254370,0.29,0
GOTTI,6ix9ine,False,0.584,161.9,0.176,0.728,0,10,0.0658,0.365,-7.255,4,166852,0.0524,0
High End (feat. Future & Young Thug),Chris Brown,False,0.503,153.047,0.209,0.725,1,10,0.124,0.0636,-5.646,4,202214,0.0144,1.52e-06
Backseat Freestyle,Kendrick Lamar,False,0.651,77.878,0.3,0.546,1,1,0.235,0.646,-7.601,4,212653,0.000739,0
The Days,Avicii,False,0.724,127.059,0.0439,0.59,1,0,0.142,0.526,-3.278,4,278480,0.04,4.07e-05
Boy Oh Boy,Diplo,False,0.92,109.991,0.202,0.585,1,9,0.063,0.2,-3.277,4,261721,0.00515,0.0973
My Feelings for You,Avicii,False,0.948,127.986,0.0709,0.697,0,6,0.0719,0.0584,-2.142,4,375187,0.0719,0.0776
Undercover Martyn,Two Door Cinema Club,False,0.86,159.821,0.168,0.439,0,11,0.0783,0.578,-4.824,4,167773,0.00043,1.68e-05
Breezeblocks,alt-J,False,0.658,150.093,0.0343,0.615,1,5,0.205,0.293,-7.299,4,227080,0.096,0.000911
Burn the Witch,Radiohead,False,0.847,148.937,0.0297,0.541,1,11,0.109,0.62,-6.52,4,220609,0.303,0.271
Brazil,Declan McKenna,False,0.617,121.079,0.0287,0.687,1,4,0.0898,0.665,-5.213,4,252307,0.0941,1.27e-05
Bruises,Chairlift,False,0.554,185.183,0.0587,0.579,1,0,0.101,0.838,-7.08,4,241467,0.0175,0.0221
Raining Blood,Slayer,False,,,,,,,,,,,,,
We're Not Gonna Take It,Twisted Sister,False,,,,,,,,,,,,,
I Wanna Rock,Twisted Sister,False,,,,,,,,,,,,,
You've Got Another Thing Comin',Judas Priest,False,,,,,,,,,,,,,
Rainbow in the Dark,Dio,False,,,,,,,,,,,,,
Love Hurts,Nazareth,False,,,,,,,,,,,,,
Territory,Sepultura,False,,,,,,,,,,,,,
Rock You Like A Hurricane,Scorpions,False,,,,,,,,,,,,,
Holy Diver,Dio,False,,,,,,,,,,,,,
Runnin' With The Devil,Van Halen,False,,,,,,,,,,,,,
Nemo,Nightwish,False,,,,,,,,,,,,,
Mother,Danzig,False,,,,,,,,,,,,,
Toothbrush,DNCE,False,,,,,,,,,,,,,
Lost And Found,Ellie Goulding,False,,,,,,,,,,,,,
You Raise Me Up,Josh Groban,False,,,,,,,,,,,,,
Privacy,Chris Brown,False,,,,,,,,,,,,,
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,False,,,,,,,,,,,,,
I'm a Mess,Bebe Rexha,False,,,,,,,,,,,,,
To the Max (feat. Drake),DJ Khaled,False,,,,,,,,,,,,,
Body Moves,DNCE,False,,,,,,,,,,,,,
Chanel,Frank Ocean,False,,,,,,,,,,,,,
Jumpsuit,Twenty One Pilots,False,,,,,,,,,,,,,
Who Do You Love?,YG,False,,,,,,,,,,,,,
Say My Name,David Guetta,False,,,,,,,,,,,,,
Either Way (feat. Joey Bada$$),Snakehips,False,,,,,,,,,,,,,
Dance To This (feat. Ariana Grande),Troye Sivan,False,,,,,,,,,,,,,
